Date,Ticker,Shares,Average Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Company,Currency
2025-09-08 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-09 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-10 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-11 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-12 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-15 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-16 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-17 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-18 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-19 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-22 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-23 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-24 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-25 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-26 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-29 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-09-30 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-10-01 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-10-02 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-10-03 16:00:00-07:00,GD,0.8676,345.68,299.91,0.0,345.68,299.91,0.0,HOLD,GD,USD
2025-10-09 17:26:10-07:00,GMIN.TO,44.6354,23.47,1047.77,0.0,23.47,1047.77,0.0,HOLD,GMIN.TO,CAD
2025-10-09 17:26:10-07:00,LTRX,21.2652,4.75,101.01,0.0,4.75,101.01,0.0,HOLD,LTRX,USD
2025-10-09 17:26:10-07:00,VEE.TO,7.4987,44.18,331.31,0.0,44.18,331.31,0.0,HOLD,VEE.TO,CAD
2025-10-09 17:26:10-07:00,CRWD,0.7261,427.93,310.72,0.0,427.93,310.72,0.0,HOLD,CRWD,USD
2025-10-09 17:26:10-07:00,SMH,3.0684,306.4,940.16,0.0,306.4,940.16,0.0,HOLD,SMH,USD
