Name,Bioguide ID,Party,State,Chamber,Trade Count
Gilbert Cisneros,C001124,Democrat,CA,House,636
Robert P. Bresnahan Jr.,TMP079248,Republican,PA,House,574
Thomas Carper,C000174,Democrat,DE,Senate,189
Thomas Kean Jr,TMP330713,Republican,NJ,House,105
Michael Burgess,B001248,Republican,TX,House,82
Earl Blumenauer,B001227,Democrat,OR,House,61
Mark Green,G000590,Republican,TN,House,48
John Delaney,D000620,Democrat,MD,House,38
Nancy Pelosi,P000197,Democrat,CA,House,28
James Hill,TMP776650,Republican,AR,House,27
Douglas Lamborn,L000564,Republican,CO,House,16
Katherine M. Clark,C001101,Democrat,MA,House,3
Marco Rubio,R000595,Republican,FL,Senate,2
David Min,TMP669129,Democrat,CA,House,2
Jeffrey Duncan,TMP606401,Republican,SC,House,2
Garret Graves,G000577,Republican,LA,House,1
Jd Vance,V000137,Republican,OH,Senate,1
Adelita S. Grijalva,G000606,Democrat,AZ,House,0
Matt Van Epps,V000139,Republican,TN,House,0
David Trone,T000486,Democrat,MD,House,0
Steve Scalise,S001176,Republican,LA,House,0
Mike Johnson,J000299,Republican,LA,House,0
Hakeem S. Jeffries,J000294,Democrat,NY,House,0
